STATE,Diesel,Petrol,OMF,EV + Hybrid
UTTAR PRADESH,36.22084440507824,60.261427382773704,0.0,3.52
MAHARASHTRA,33.44230877628093,57.83214024012175,2.8,5.93
GUJARAT,30.949039518731396,64.91047724611383,0.55,3.59
MADHYA PRADESH,47.301492994997794,51.28984035111256,0.14,1.27
KARNATAKA,29.502344102473565,60.41311128111575,3.35,6.74
RAJASTHAN,48.11382338977686,48.80024529197658,0.01,3.08
HARYANA,30.25779774363163,65.93496349992343,0.01,3.8
TAMIL NADU,23.9846176942709,70.20659868580601,0.01,5.8
DELHI,5.167260995075565,85.25895737816268,0.0,9.57
KERALA,7.8314093397970215,81.66393471209848,0.01,10.5
PUNJAB,42.84862618575862,53.816345496309026,0.0,3.34
CHHATTISGARH,43.07825247159885,45.939970010420105,8.68,2.3
WEST BENGAL,27.67384597967905,67.85158350550476,0.09,4.38
ANDHRA PRADESH,32.6866073834546,55.436540016168145,7.26,4.62
BIHAR,35.966046040451324,62.48646382785482,0.05,1.5
ODISHA,31.22142390594383,64.07939618259671,0.0,4.7
ASSAM,13.64248397694835,85.10260138956212,0.1,1.16
JHARKHAND,20.57985587397352,77.59901681470309,0.0,1.82
JAMMU AND KASHMIR,21.142757295124934,77.77971926145962,0.0,1.08
UTTARAKHAND,23.536096656498597,74.02356600275137,0.0,2.44
HIMACHAL PRADESH,16.3081983805668,81.77505060728745,0.0,1.92
CHANDIGARH,22.18200620475698,64.97759393312651,0.0,12.84
GOA,9.711919958599276,81.24892185613248,0.03,9.0
PUDUCHERRY,20.760438535106136,75.60065313739211,0.02,3.62
ARUNACHAL PRADESH,31.036133046183295,67.81526681024168,0.0,1.15
MEGHALAYA,18.15842150414641,80.69774092078926,0.0,1.14
NAGALAND,20.296362819937137,78.71576111360574,0.0,0.99
UT OF DNH AND DD,27.955911823647295,66.68336673346693,0.0,5.36
MANIPUR,16.569086651053862,81.26463700234193,0.0,2.17
TRIPURA,16.27906976744186,82.8641370869033,0.0,0.86
MIZORAM,23.405972558514932,75.62550443906376,0.0,0.97
SIKKIM,30.34330011074197,68.66002214839423,0.0,1.0
ANDAMAN AND NICOBAR,11.411992263056092,86.46034816247582,0.0,2.13
LADAKH,30.02832861189802,69.68838526912181,0.0,0.28
LAKSHADWEEP,0.0,100.0,0.0,0.0
