State,Immediate Effect (%),Trend Change (%/year),p-value,Sig.,R²,N
CHHATTISGARH,326.53,-58.31,0.0044,**,0.961,24
GOA,288.33,-65.46,0.0615,ns,0.914,24
UTTARAKHAND,269.65,-64.22,0.0002,***,0.986,24
ANDHRA PRADESH,222.78,-45.18,0.2371,ns,0.845,24
JAMMU AND KASHMIR,208.81,-43.83,0.0275,*,0.934,24
MADHYA PRADESH,192.62,-48.1,0.1404,ns,0.915,24
MAHARASHTRA,160.21,-56.16,0.0257,*,0.976,24
ODISHA,146.65,-45.77,0.1422,ns,0.945,24
GUJARAT,127.52,-49.16,0.1072,ns,0.954,24
RAJASTHAN,124.3,-49.24,0.1222,ns,0.964,24
KERALA,114.34,-47.92,0.2743,ns,0.941,24
PUDUCHERRY,102.1,-29.64,0.3497,ns,0.77,24
MEGHALAYA,97.92,-27.37,0.0663,ns,0.919,24
WEST BENGAL,96.33,-42.53,0.3285,ns,0.914,24
DELHI,94.98,-39.04,0.394,ns,0.896,24
TAMIL NADU,88.62,-38.37,0.136,ns,0.938,24
CHANDIGARH,74.27,-31.85,0.3323,ns,0.949,24
BIHAR,73.63,-25.26,0.2784,ns,0.952,24
TRIPURA,70.26,-8.43,0.3255,ns,0.781,24
KARNATAKA,68.87,-31.5,0.1694,ns,0.933,24
HIMACHAL PRADESH,66.56,-13.83,0.2357,ns,0.947,24
LADAKH,60.22,-28.85,0.2491,ns,0.415,24
JHARKHAND,52.99,-7.65,0.5236,ns,0.905,24
PUNJAB,9.83,19.83,0.8839,ns,0.907,24
ASSAM,5.51,-0.04,0.9578,ns,0.738,24
HARYANA,-12.67,31.88,0.814,ns,0.947,24
UT OF DNH AND DD,-20.93,34.11,0.6352,ns,0.895,24
MANIPUR,-28.64,73.73,0.4464,ns,0.88,24
SIKKIM,-44.01,86.7,0.2001,ns,0.636,24
NAGALAND,-46.1,104.87,0.1454,ns,0.816,24
MIZORAM,-46.82,96.94,0.1131,ns,0.737,24
UTTAR PRADESH,-54.5,126.45,0.2363,ns,0.926,24
ARUNACHAL PRADESH,-72.93,213.16,0.003,**,0.906,24
